epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,14187.5,1.18185,1.02121,1.35704,0.60113,0.62753,0.56612,0.38635,1.11918,0.71617,1.39096,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,14344,1.17825,1.00973,1.34999,0.60469,0.62725,0.5668,0.38702,1.1181,0.71421,1.38982,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,14497.8,1.18056,1.02255,1.35807,0.60527,0.6273,0.56805,0.38776,1.11675,0.71251,1.38879,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,14653.2,1.17094,1.0076,1.34676,0.61164,0.62908,0.569,0.38771,1.11596,0.71063,1.3879,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
95,14809.5,1.16454,0.99442,1.34239,0.61911,0.62796,0.56963,0.38863,1.11469,0.70808,1.38641,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
96,14966.4,1.16566,0.99619,1.34242,0.61885,0.62818,0.57011,0.38876,1.11358,0.70586,1.38533,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
97,15119.4,1.17413,1.00217,1.34721,0.61723,0.63013,0.5713,0.38916,1.11257,0.70336,1.38408,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
98,15276.3,1.16192,0.98982,1.34167,0.61944,0.62555,0.57219,0.39085,1.11048,0.70129,1.382,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318
99,15432.1,1.16627,0.98418,1.33686,0.62487,0.62225,0.57212,0.39131,1.1073,0.69905,1.37891,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
100,15587.4,1.16081,0.98741,1.33946,0.62146,0.62993,0.57349,0.39212,1.10537,0.69757,1.37719,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775
101,15740.7,1.16588,0.99276,1.33853,0.62238,0.62714,0.57409,0.3926,1.10359,0.69613,1.37534,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
