epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,6542.97,1.19468,1.04468,1.36672,0.57234,0.60877,0.56418,0.38905,1.09165,0.71908,1.36665,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,6654.52,1.19248,1.03377,1.36515,0.55403,0.62384,0.56475,0.38978,1.08866,0.71432,1.36443,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,6769.72,1.199,1.04245,1.3675,0.54173,0.61319,0.5652,0.38993,1.086,0.71591,1.36183,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,6887.47,1.18603,1.0239,1.35796,0.56782,0.59283,0.56781,0.39084,1.08464,0.71095,1.35994,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,7002.71,1.18322,1.02025,1.35334,0.58208,0.60942,0.57064,0.39037,1.08428,0.70534,1.35769,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,7118.2,1.18295,1.01427,1.35459,0.61191,0.59998,0.57073,0.39345,1.07735,0.70529,1.35176,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,7235.49,1.17801,1.01096,1.349,0.64036,0.61457,0.57112,0.39329,1.07482,0.69586,1.34861,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,7354.54,1.1771,1.01401,1.35195,0.58684,0.61897,0.57566,0.39714,1.07212,0.68949,1.34638,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,7475.17,1.16815,1.00851,1.34567,0.56671,0.61144,0.57764,0.39801,1.06956,0.68548,1.34355,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,7595.18,1.16537,1.00344,1.34473,0.62404,0.60135,0.57244,0.39464,1.06292,0.68262,1.33854,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,7711.9,1.17505,0.99787,1.34587,0.60016,0.61478,0.57461,0.39737,1.06059,0.67886,1.33544,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,7826.14,1.16418,0.99811,1.34047,0.64146,0.59785,0.5799,0.40103,1.05896,0.67552,1.33301,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,7942.31,1.16082,0.99181,1.34029,0.56373,0.62755,0.57801,0.40276,1.06019,0.67357,1.33468,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,8058.96,1.1646,0.98883,1.3396,0.59165,0.62691,0.57934,0.40319,1.05722,0.67255,1.33111,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,8174.26,1.15588,0.97039,1.33065,0.59059,0.63202,0.58121,0.40449,1.05784,0.66959,1.33051,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,8291.73,1.14928,0.96398,1.32962,0.57561,0.62841,0.58188,0.40575,1.05664,0.66808,1.32917,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,8407.97,1.15305,0.97606,1.33407,0.57961,0.63217,0.58096,0.40657,1.05422,0.66778,1.32658,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,8526.3,1.15198,0.97253,1.32924,0.56063,0.63831,0.5802,0.40461,1.05187,0.66456,1.32415,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,8643.76,1.14288,0.9556,1.31954,0.59071,0.62029,0.58209,0.40493,1.05044,0.66347,1.32171,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,8760.32,1.14235,0.95344,1.32459,0.64762,0.58619,0.58484,0.40647,1.04932,0.66192,1.31955,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,8877.26,1.1381,0.95131,1.31395,0.64408,0.58489,0.58405,0.40602,1.04702,0.65942,1.31641,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,8994.37,1.136,0.94594,1.31801,0.65002,0.59168,0.58636,0.40659,1.04465,0.65593,1.31391,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,9111.98,1.12506,0.93885,1.31266,0.65063,0.58954,0.5866,0.40815,1.04324,0.65321,1.31245,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,9230.14,1.1242,0.9386,1.30755,0.57278,0.64301,0.5862,0.40776,1.04059,0.65159,1.31032,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,9345.83,1.11691,0.93233,1.30429,0.57466,0.65428,0.58791,0.40945,1.03892,0.64897,1.30876,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,9464.47,1.11189,0.93265,1.30484,0.5838,0.64597,0.58864,0.41016,1.03781,0.64813,1.30777,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,9582.33,1.11748,0.92036,1.30483,0.58052,0.65586,0.58922,0.41048,1.03696,0.64657,1.3067,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,9699.3,1.11819,0.92395,1.306,0.58306,0.65573,0.58883,0.41089,1.03556,0.6447,1.30521,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,9817.32,1.11351,0.92988,1.30253,0.58149,0.65495,0.58893,0.41139,1.03372,0.64276,1.30336,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,9934.65,1.11446,0.92371,1.30438,0.58006,0.6549,0.58842,0.41127,1.03251,0.64053,1.30232,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
